日期,身份別,多方交易口數,多方交易契約金額(百萬元),空方交易口數,空方交易契約金額(百萬元),多空交易口數淨額,多空交易契約金額淨額(百萬元),多方未平倉口數,多方未平倉契約金額(百萬元),空方未平倉口數,空方未平倉契約金額(百萬元),多空未平倉口數淨額,多空未平倉契約金額淨額(百萬元)
"2015/11/26",自營商,317875,41530,316093,40492,1782,1038,234387,18842,259247,24194,-24860,-5352
"2015/11/26",投信,1104,1074,461,445,643,629,6879,4989,11962,18228,-5083,-13239
"2015/11/26",外資及陸資,137709,81362,133555,73265,4154,8097,243225,67652,206761,25476,36464,42176
"2015/11/27",自營商,306959,37645,328608,41198,-21649,-3553,251885,17003,298632,25816,-46747,-8813
"2015/11/27",投信,731,931,784,913,-53,18,7177,5368,12328,18439,-5151,-13071
"2015/11/27",外資及陸資,119359,72281,136301,80366,-16942,-8085,241903,63125,222198,30541,19705,32584
"2015/11/30",自營商,485995,61008,512785,56751,-26790,4257,276279,23940,349938,28589,-73659,-4648
"2015/11/30",投信,702,650,857,1105,-155,-455,7258,5231,12477,18610,-5219,-13379
"2015/11/30",外資及陸資,221019,96555,214977,105373,6042,-8818,253909,61031,227493,36747,26416,24284
"2015/12/1",自營商,449969,52941,428879,52959,21090,-18,305798,24274,358500,29116,-52702,-4842
"2015/12/1",投信,1063,1297,625,769,438,528,7332,5265,12197,18374,-4865,-13109
"2015/12/1",外資及陸資,168163,98022,159513,83219,8650,14803,258804,69468,224859,29753,33945,39714
"2015/12/2",自營商,474547,49953,478376,49655,-3829,298,232747,22540,288079,27313,-55332,-4773
"2015/12/2",投信,674,706,599,621,75,85,7157,5227,12178,18231,-5021,-13004
"2015/12/2",外資及陸資,162716,82104,163765,83780,-1049,-1676,259183,69382,218684,31430,40499,37952
"2015/12/3",自營商,330676,44871,332865,44174,-2189,697,267977,23669,325261,27756,-57284,-4087
