日期,身份別,多方交易口數,多方交易契約金額(百萬元),空方交易口數,空方交易契約金額(百萬元),多空交易口數淨額,多空交易契約金額淨額(百萬元),多方未平倉口數,多方未平倉契約金額(百萬元),空方未平倉口數,空方未平倉契約金額(百萬元),多空未平倉口數淨額,多空未平倉契約金額淨額(百萬元)
"2018/4/18",自營商,700138,115302,676609,111519,23529,3783,193724,26785,205245,36926,-11521,-10141
"2018/4/18",投信,1117,1147,3176,1078,-2059,69,5062,4368,36498,67415,-31436,-63047
"2018/4/18",外資及陸資,258539,173074,255008,164467,3531,8607,196030,146344,151894,61145,44136,85199
"2018/4/19",自營商,293769,52022,266974,51681,26795,341,242406,35493,226787,45404,15619,-9911
"2018/4/19",投信,1060,2324,625,160,435,2164,5248,4829,36249,66423,-31001,-61594
"2018/4/19",外資及陸資,215078,164709,190828,136687,24250,28022,227504,174392,159219,60043,68285,114350
"2018/4/20",自營商,340213,66064,383906,76237,-43693,-10173,263206,24938,292846,44666,-29640,-19728
"2018/4/20",投信,355,352,1401,2340,-1046,-1988,5038,4580,37085,67125,-32047,-62544
"2018/4/20",外資及陸資,237793,171864,281650,223403,-43857,-51539,216855,144669,191922,83574,24933,61095
"2018/4/23",自營商,396966,60193,422950,59790,-25984,403,272964,23662,329332,42784,-56368,-19122
"2018/4/23",投信,139,298,381,814,-242,-516,5081,4639,37370,67146,-32289,-62506
"2018/4/23",外資及陸資,246325,171642,255290,174727,-8965,-3085,216676,140675,200675,83225,16001,57450
"2018/4/24",自營商,521696,69435,548556,72542,-26860,-3107,296719,23515,380603,45515,-83884,-22000
"2018/4/24",投信,147,312,199,422,-52,-110,5108,4670,37449,66678,-32341,-62008
"2018/4/24",外資及陸資,302764,196274,308910,197941,-6146,-1667,220751,135963,210693,80774,10058,55189
"2018/4/25",自營商,609094,78127,638305,70177,-29211,7950,221310,25005,290929,38778,-69619,-13773
"2018/4/25",投信,1466,1431,403,33,1063,1398,5449,5280,34827,65571,-29378,-60291
"2018/4/25",外資及陸資,362425,217085,367086,216195,-4661,890,211455,131931,203121,76091,8334,55839
"2018/4/26",自營商,360766,52648,358368,57853,2398,-5205,258779,23179,325989,41996,-67210,-18817
"2018/4/26",投信,774,1239,685,187,89,1052,5473,5295,34762,64203,-29289,-58908
